------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 6, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 12.69
Generation 7, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 11.82
Generation 8, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.11
Generation 9, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 13.30
Generation 10, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.12
Generation 11, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 13.80
Generation 12, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 15.38
Generation 13, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.39
Generation 14, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 16.94
Generation 15, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 15.08
Generation 16, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 15.08
Generation 17, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.96
Generation 18, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.78
Generation 19, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 15.99
------------------------- 
Mean Num Genes: 2 Mean Gene Length: 4 
 -------------------------
Generation 0, Fitness: 5725.00, Best Genome: \w\w\w , Time Elapsed 4.13
Generation 1, Fitness: 5725.00, Best Genome: \w\w\w , Time Elapsed 5.03
Generation 2, Fitness: 5725.00, Best Genome: \w\w\w , Time Elapsed 6.63
Generation 3, Fitness: 5725.00, Best Genome: \w\w\w , Time Elapsed 8.92
Generation 4, Fitness: 5725.00, Best Genome: \w\w\w , Time Elapsed 9.95
Generation 5, Fitness: 5725.00, Best Genome: \w\w\w , Time Elapsed 12.78
Generation 6, Fitness: 5725.00, Best Genome: \w\w\w , Time Elapsed 11.80
Generation 7, Fitness: 5702.00, Best Genome: (.)[^.]\w\w[ ], Time Elapsed 15.66
Generation 8, Fitness: 5702.00, Best Genome: (.)[^.]\w\w[ ], Time Elapsed 14.45
Generation 9, Fitness: 5702.00, Best Genome: (.)[^.]\w\w[ ], Time Elapsed 13.47
Generation 10, Fitness: 5634.00, Best Genome: [^.]\w\w\w\w, Time Elapsed 14.01
Generation 11, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 13.93
Generation 12, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 14.74
Generation 13, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 16.36
Generation 14, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 15.09
Generation 15, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 17.64
Generation 16, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 16.01
Generation 17, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 15.89
Generation 18, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 16.45
Generation 19, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 16.98
Generation 20, Fitness: 5599.00, Best Genome: \w\w\w\w, Time Elapsed 17.22
------------------------- 
Mean Num Genes: 2 Mean Gene Length: 6 
 -------------------------
Generation 0, Fitness: 5869.00, Best Genome: ( )\w\w[^p], Time Elapsed 3.02
Generation 1, Fitness: 5869.00, Best Genome: ( )\w\w[^p], Time Elapsed 3.36
Generation 2, Fitness: 5752.00, Best Genome: ..\w , Time Elapsed 4.26
Generation 3, Fitness: 5748.00, Best Genome:  \w\w\w[^p], Time Elapsed 5.12
