------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 40, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 10.06
Generation 41, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 9.45
Generation 42, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 9.67
Generation 43, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 10.26
Generation 44, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 8.84
Generation 45, Fitness: 3965.00, Best Genome: \w\w\w\w\w+, Time Elapsed 10.37
Generation 46, Fitness: 3965.00, Best Genome: \w\w\w\w\w+, Time Elapsed 9.36
Generation 47, Fitness: 3965.00, Best Genome: \w\w\w\w\w+, Time Elapsed 11.74
Generation 48, Fitness: 3965.00, Best Genome: \w\w\w\w\w+, Time Elapsed 8.74
Generation 49, Fitness: 3965.00, Best Genome: \w\w\w\w\w+, Time Elapsed 9.41
------------------------- 
Mean Num Genes: 1 Mean Gene Length: 10 
 -------------------------
Generation 0, Fitness: 6435.00, Best Genome: .\w\d| . S0-9A-Z\d, Time Elapsed 0.88
Generation 1, Fitness: 6435.00, Best Genome: .\w\d| . S0-9A-Z\d, Time Elapsed 0.93
Generation 2, Fitness: 6435.00, Best Genome: .\w\d| . S0-9A-Z\d, Time Elapsed 1.11
Generation 3, Fitness: 6375.00, Best Genome:   \dA-Z0\d8h|., Time Elapsed 1.18
Generation 4, Fitness: 5950.00, Best Genome: .\w\w| 0-9 S.A-Z\d, Time Elapsed 1.30
Generation 5, Fitness: 5790.00, Best Genome: .\w |  0-9A-Z\d, Time Elapsed 1.51
Generation 6, Fitness: 5790.00, Best Genome: .\w |   A-Z\d, Time Elapsed 2.03
Generation 7, Fitness: 5790.00, Best Genome: .\w |   A-Z\d, Time Elapsed 2.47
Generation 8, Fitness: 5772.00, Best Genome: \w\w |  0-9A-Z\d, Time Elapsed 3.03
Generation 9, Fitness: 5772.00, Best Genome: \w\w |  0-9A-Z\d, Time Elapsed 3.74
Generation 10, Fitness: 5772.00, Best Genome: \w\w |  0-9A-Z\d, Time Elapsed 4.51
Generation 11, Fitness: 5772.00, Best Genome: \w\w |  0-9A-Z\d, Time Elapsed 4.54
Generation 12, Fitness: 5772.00, Best Genome: \w\w |  0-9@\d, Time Elapsed 4.42
Generation 13, Fitness: 5751.00, Best Genome: .\wr| a-z.\d, Time Elapsed 4.62
Generation 14, Fitness: 5714.00, Best Genome: \w\w.|  0-9@P, Time Elapsed 4.50
Generation 15, Fitness: 5714.00, Best Genome: \w\w.|  0-9@P, Time Elapsed 4.45
Generation 16, Fitness: 5565.00, Best Genome: \w\w\w|A-Z 0-9A-Z\d, Time Elapsed 4.61
Generation 17, Fitness: 5504.00, Best Genome: .\w+|  A-Z, Time Elapsed 4.37
Generation 18, Fitness: 5504.00, Best Genome: .\w+|  A-Z, Time Elapsed 4.39
Generation 19, Fitness: 5504.00, Best Genome: .\w+|  A-Z, Time Elapsed 4.52
Generation 20, Fitness: 5504.00, Best Genome: .\w+|  A-Z, Time Elapsed 4.61
Generation 21, Fitness: 5425.00, Best Genome: \w+|> A-Z, Time Elapsed 4.47
Generation 22, Fitness: 5425.00, Best Genome: \w+|> ., Time Elapsed 5.34
Generation 23, Fitness: 5339.00, Best Genome: \w\w+|>9A-Z, Time Elapsed 5.67
Generation 24, Fitness: 5339.00, Best Genome: \w\w+|> A-Z, Time Elapsed 5.21
Generation 25, Fitness: 5339.00, Best Genome: \w\w+|> A-Z, Time Elapsed 5.66
Generation 26, Fitness: 5339.00, Best Genome: \w\w+| A-Z, Time Elapsed 7.43
Generation 27, Fitness: 5339.00, Best Genome: \w\w+|  , Time Elapsed 7.27
Generation 28, Fitness: 5339.00, Best Genome: \w\w+|  , Time Elapsed 6.19
Generation 29, Fitness: 5279.00, Best Genome: \w+ \w., Time Elapsed 6.27
Generation 30, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 6.06
Generation 31, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 6.00
Generation 32, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 6.09
Generation 33, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 5.99
Generation 34, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 6.74
Generation 35, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 6.60
Generation 36, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 7.33
Generation 37, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 6.65
Generation 38, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 6.14
Generation 39, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 5.82
Generation 40, Fitness: 4749.00, Best Genome: \w+\w\w., Time Elapsed 7.26
Generation 41, Fitness: 4629.00, Best Genome: \w\w\w\w., Time Elapsed 6.29
Generation 42, Fitness: 4629.00, Best Genome: \w\w\w\w., Time Elapsed 6.68
Generation 43, Fitness: 4600.00, Best Genome: \w\w\w\w\w, Time Elapsed 6.31
Generation 44, Fitness: 4600.00, Best Genome: \w\w\w\w\w, Time Elapsed 6.29
Generation 45, Fitness: 4600.00, Best Genome: \w\w\w\w\w, Time Elapsed 6.74
Generation 46, Fitness: 4600.00, Best Genome: \w\w\w\w\w, Time Elapsed 6.47
Generation 47, Fitness: 4600.00, Best Genome: \w\w\w\w\w, Time Elapsed 7.11
Generation 48, Fitness: 4600.00, Best Genome: \w\w\w\w\w, Time Elapsed 7.14
Generation 49, Fitness: 4163.00, Best Genome: \w+\w\w\w, Time Elapsed 6.64
------------------------- 
Mean Num Genes: 2 Mean Gene Length: 2 
 -------------------------
Generation 0, Fitness: 5719.00, Best Genome: [^ ]\w[^.], Time Elapsed 1.55
Generation 1, Fitness: 5719.00, Best Genome: [^ ]\w[^.], Time Elapsed 1.77
