------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 10, Fitness: 5637.00, Best Genome: \w\w\w[^7], Time Elapsed 6.21
Generation 11, Fitness: 5637.00, Best Genome: \w\w\w[^7], Time Elapsed 6.02
Generation 12, Fitness: 5637.00, Best Genome: \w\w\w[^7], Time Elapsed 6.50
Generation 13, Fitness: 5637.00, Best Genome: \w\w\w[^7], Time Elapsed 6.55
Generation 14, Fitness: 5637.00, Best Genome: \w\w\w[^7], Time Elapsed 6.68
Generation 15, Fitness: 5578.00, Best Genome: \w\w.\w[^7], Time Elapsed 7.06
Generation 16, Fitness: 5578.00, Best Genome: \w\w.\w[^7], Time Elapsed 6.89
Generation 17, Fitness: 5578.00, Best Genome: \w\w.\w[^7], Time Elapsed 7.21
Generation 18, Fitness: 5578.00, Best Genome: \w\w.\w[^7], Time Elapsed 7.41
Generation 19, Fitness: 5578.00, Best Genome: \w\w.\w[^7], Time Elapsed 7.70
Generation 20, Fitness: 5578.00, Best Genome: \w\w.\w[^7], Time Elapsed 7.73
Generation 21, Fitness: 5486.00, Best Genome: \w\w.\w\w, Time Elapsed 7.92
Generation 22, Fitness: 5486.00, Best Genome: \w\w.\w\w, Time Elapsed 8.06
Generation 23, Fitness: 5486.00, Best Genome: \w\w.\w\w, Time Elapsed 8.25
Generation 24, Fitness: 5486.00, Best Genome: \w\w.\w\w, Time Elapsed 7.94
Generation 25, Fitness: 5486.00, Best Genome: \w\w.\w\w, Time Elapsed 8.36
Generation 26, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 8.26
Generation 27, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 8.60
Generation 28, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 8.46
Generation 29, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 8.59
Generation 30, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 8.67
Generation 31, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 8.91
Generation 32, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 9.52
Generation 33, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 9.09
Generation 34, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 9.19
Generation 35, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 9.55
Generation 36, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 9.65
Generation 37, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 10.20
Generation 38, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 9.99
Generation 39, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 10.17
Generation 40, Fitness: 5342.00, Best Genome:  .\w.\w\w, Time Elapsed 10.28
